"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_3F50taCbdcPaIcs","mcdonalds","","","white castles","","","wendys","","","burger king","","","rallys","",""
"R_3ISPs4OxGbDoIYi","Cheesecake Factory","","","Bent fork","","","","","","","","","","",""
"R_1DNe6kNpX1IYFB8","McDonalds","","","A&W","","","Burger King","","","Rally’s","","","Arby’s","",""
"R_24oVvdBRDUXoxiu","Noodles and co","","7","Jimmy johns","5","","","","","","","","","",""
"R_2an7ttZqyOL53HI","McDonalds","","","Burger King","","","Taco Bell","","12","Chic fil a","1","","KFC","",""
"R_1H18TtTv6DUtjCo","Panera Bread Co","","9","Noodles and Co","","7","Panda Express","","8","None","","","None","",""
"R_2uU92MKVgOBqRMZ","Denny's","","","Apple Bee's","","","","","","","","","","",""
"R_VUU37Rl1sw9ckmd","Panera","9","","Chipotle","2","","Pie Wei","","","","","","","",""
"R_11cqov23BXk4vz3","panera bread","","9","mcdonalds","","","chipole","2","","wendys","","","popeyes","",""
"R_UQqcfpYc5L5Fuet","Open Range","","","","","","","","","","","","","",""
"R_3oXEPRjhmPV35e2","Mcdonalds","","","Jack in the box","","","Burger king","","","Taco bell","","12","Colvers","",""
"R_yJDnZ1T8shYtTnX","Ruby Tuesday","","","TGIFridays","","","Pizza Hut","","","Outback Steak House","","","","",""
"R_2WujySeQqg0YdVp","Chick filet","","1","Taco bell","","12","Wendy","","","McDonald’s","","","Long john","",""
"R_1mflLdGtA2jL5xA","Moes","6","","","","","","","","","","","","",""
"R_u23tArZxSXCVqQF","None","","","","","","","","","","","","","",""
"R_AApZDskZHqGaBah","Salad works","","","Panera","9","","","","","","","","","",""
"R_3aYpU0xoiZQ9ykF","None","","","","","","","","","","","","","",""
"R_2Ptny3bSmFv2wEh","Fridays","","","Ruby Tuesdays","","","Chilis","","","","","","","",""
"R_2E9Vv9vKowqFeXz","Texas road house","","","","","","","","","","","","","",""
"R_1LLpdpm65hOrsur","None","","","","","","","","","","","","","",""
"R_3mfyXFdTXUcdKX0","Smash Burger","","","None","","","None","","","None","","","None","",""
"R_r8xzPsOlE6oMOMV","mcdonalds","","","taco de mexico","","","curtis park creamery","","","freddys","","","bad daddy’s burger","",""
"R_1LNheXhV723SlM5","None","","","","","","","","","","","","","",""
"R_ST8Bm4WP7rSba9z","Chipotle","2","","Qdoba","10","","Newks","","","","","","","",""
"R_22sNmwU0GX8Nuhd","Panera","9","","","","","","","","","","","","",""
"R_2Eb1Y0rvcucfu4y","None","","","","","","","","","","","","","",""
"R_2wozxcta9yaWNCR","Fidalgo Drive inn","","","Agave","","","","","","","","","","",""
"R_3WWJuWJXRgeKj7P","Chick-fil-A","","1","Taco Bell","","12","Kfc","","","Burger King","","","McDonald’s","",""
"R_2dA60QW0x3K3cyq","Fazoli’s","","","Noodles and company","","7","Chipotle","2","","Panera","9","","","",""
"R_2ypInTJTroHKk2c","McDonald's","","","Burger King","","","Wendy's","","","Quiznos","","","","",""
"R_6VSk7TnPalgvqPT","McDonald's","","","Negro de oro","","","Cesar","","","White castles","","","Burger king","",""
"R_2EzRDfV4vfVpvzl","Redrobins","","","Olive garden","","","Logan’s steak house","","","Perkins","","","","",""
"R_UfFhFAzZpWvn3j3","Mcdonalds","","","Wendys","","","Rally","","","","","","","",""
"R_1oIsxg2Jep7WxIE","Noodles and company","","7","St Louis bread company","","","Chipotle","2","","Qdoba","10","","","",""
"R_2fDw13ZNUKWQUkX","Wendys","","","Burger king","","","Mcdonalds","","","Papa ginos","","","Domin9s","",""
"R_2e3han0Prku6raV","Subway","","","Hibachi","","","","","","","","","","",""
"R_8CALG8W0VpP8CA1","McDonalds","","","KFC","","","Popeyes","","","Chick-Fil-A","","1","Burger King","",""
"R_2wgAqxq8AlFGT8t","None","","","","","","","","","","","","","",""
"R_RRKtCAQH9QnAYg1","Panera","9","","Boston Market","","","","","","","","","","",""
"R_1EicHdtY2mfaP3U","Steak ‘n Shake","","","Culvers","","","KFC","","","","","","","",""
"R_3jz9IaVKcSSAr61","Uno's","","","Olive Garden","","","Pat's Pizza","","","Dimitri's","","","Sponkies","",""
"R_3gSjL1kCu5FDquF","McDonald’s","","","Arbys","","","Wendy’s","","","Taco Bell","","12","KFC","",""
"R_3ESf5brH9TyDZaf","Red lobster","","","olive garden","","","tgi fridays","","","qdoba","10","","chilis","",""
"R_26c36jWoVpI6jGM","Applebees","","","Outback","","","IHOP","","","","","","","",""
"R_eVh24qtLzXTDWGR","dont know","","","","","","","","","","","","","",""
"R_2zIIMUhKBrY66VP","None","","","","","","","","","","","","","",""
"R_1GNctgpfLd70IcQ","McDonalolds","","","Hardees","","","Jack in the Box","","","Wendy's","","","Chic f li","1",""
"R_YRobhudLSEwtV5L","Mcdonald's","","","Wendy's","","","Burger King","","","Long John Silver's","","","Popeye's","",""
"R_2UWb8XK6RXXhDbX","None","","","None","","","None","","","None","","","None","",""
"R_1178oBcbncpDQAY","Applebees","","","","","","","","","","","","","",""
"R_YaXRQEK6dH1sRLr","Five Guys","","","Jersey Mikes","4","","","","","","","","","",""
"R_3OditCx8bzcosgb","subway","","","","","","","","","","","","","",""
"R_3lFzuvog4rBmjSH","burgerking","","","","","","","","","","","","","",""
"R_10C03vhJzIxCFXk","sonic","","","burger king","","","starbucks","","","subway","","","taco bell","","12"
"R_3R7UByAtBRZfGj1","Chili's","","","99","","","Burler king","","","Mcdonalds","","","Cracker. Arrel","",""
"R_Tnlik9oFBK1EL7z","Chipotle","2","","Qdoba","10","","Fudruckers","","","Five Guys","","","McDonalds","",""
"R_1BWayEoiRXYq9SC","None","","","","","","","","","","","","","",""
"R_25YGlhjvYSd2lV8","Wendys","","","Mc donalds","","","Burger King","","","Pizza hut","","","Checkers","",""
"R_OOnQsAAhqkoPlf3","Arby's","","","","","","","","","","","","","",""
"R_1SsMbq6E2I6QuSl","Chick fil a","","1","Mcdonalds","","","Wendys","","","Taco bell","","12","Arbys","",""
"R_2qDIIovIPmtVjkj","Chick fil A","","1","Popeyes","","","Culvers","","","Chipotle","2","","","",""
"R_28Hw0FOk2DDgyBF","boston market","","","old county buffet","","","golden coral","","","","","","","",""
"R_ThoscR0LDaswsKd","N/A","","","","","","","","","","","","","",""
"R_3Odmh10Xvzdc1ck","Wendys","","","McDonald’s","","","Arby’s","","","Applebee’s","","","Chick-fil-A","","1"
"R_Qb36yhBc9qL3GAF","Culvers","","","Panera","9","","","","","","","","","",""
"R_3en6FBl9LVEJkKE","Fast Eddies","","","McDonalds","","","Chic-fil a","1","","Burger King","","","","",""
"R_24IXMPXVgiiM7X1","Huddle house","","","Mexican","","","","","","","","","","",""
"R_2c0Du7Q7UY2v6Xw","Taco bell","","12","","","","","","","","","","","",""
"R_a5EzkexDAcOH529","Panera","9","","Culver’s","","","McDonalds","","","Qdoba","10","","Wendy’s","",""
"R_31pE16fNlGYjrE7","Steak and Shake","","","Red Robin","","","Subway","","","","","","","",""
"R_3qWFnANX8JcSDyc","Mcallisters","","","Five guys","","","Imos","","","","","","","",""
"R_3j9uIpuMenq2TSn","McDonald’s","","","Wendy’s","","","Burger King","","","Jack in the box","","","Arby’s","",""
"R_1H8BVXNbY96REZ3","wendys","","","arbys","","","","","","","","","","",""
"R_2OUuiFEuCoQR3Dc","APPLEBEES","","","OLIVE GARDEN","","","PJ WHELANS","","","NONE","","","","",""
"R_1rPVkoGmIofqHYR","Non","","","None","","","None","","","None","","","None","",""
"R_3HNeEDxvEqhKWqP","Boston market","","","","","","","","","","","","","",""
"R_2QM2Og5tpcJijaw","5 guys","","","McDonalds","","","White Castle","","","Burger King","","","Wingstop","13",""
